{'timestamp': '2024-07-13 12:50:10', 'duration': '944ms'}
{'timestamp': '2024-07-13 12:50:11', 'duration': '367ms'}
{'timestamp': '2024-07-13 12:50:12', 'duration': '707ms'}
{'timestamp': '2024-07-13 12:50:13', 'duration': '733ms'}
{'timestamp': '2024-07-13 12:50:14', 'duration': '605ms'}
{'timestamp': '2024-07-13 12:50:15', 'duration': '645ms'}
{'timestamp': '2024-07-13 12:50:16', 'duration': '619ms'}
{'timestamp': '2024-07-13 12:50:18', 'duration': '525ms'}
{'timestamp': '2024-07-13 12:50:19', 'duration': '399ms'}
{'timestamp': '2024-07-13 12:50:20', 'duration': '397ms'}
{'timestamp': '2024-07-13 12:50:21', 'duration': '422ms'}
{'timestamp': '2024-07-13 12:50:22', 'duration': '442ms'}
{'timestamp': '2024-07-13 12:50:23', 'duration': '316ms'}
{'timestamp': '2024-07-13 12:50:24', 'duration': '458ms'}
{'timestamp': '2024-07-13 12:50:25', 'duration': '446ms'}
{'timestamp': '2024-07-13 12:50:26', 'duration': '484ms'}
{'timestamp': '2024-07-13 12:50:27', 'duration': '450ms'}
{'timestamp': '2024-07-13 12:50:28', 'duration': '446ms'}
{'timestamp': '2024-07-13 12:50:29', 'duration': '440ms'}
{'timestamp': '2024-07-13 12:50:30', 'duration': '433ms'}
{'timestamp': '2024-07-13 12:50:31', 'duration': '448ms'}
{'timestamp': '2024-07-13 12:50:32', 'duration': '396ms'}
{'timestamp': '2024-07-13 12:50:33', 'duration': '458ms'}
{'timestamp': '2024-07-13 12:50:34', 'duration': '453ms'}
{'timestamp': '2024-07-13 12:50:35', 'duration': '480ms'}
{'timestamp': '2024-07-13 12:50:36', 'duration': '446ms'}
{'timestamp': '2024-07-13 12:50:37', 'duration': '423ms'}
{'timestamp': '2024-07-13 12:50:38', 'duration': '450ms'}
{'timestamp': '2024-07-13 12:50:39', 'duration': '485ms'}
{'timestamp': '2024-07-13 12:50:40', 'duration': '412ms'}
{'timestamp': '2024-07-13 12:50:42', 'duration': '276ms'}
{'timestamp': '2024-07-13 12:50:43', 'duration': '497ms'}
{'timestamp': '2024-07-13 12:50:44', 'duration': '450ms'}
{'timestamp': '2024-07-13 12:50:45', 'duration': '439ms'}
{'timestamp': '2024-07-13 12:50:46', 'duration': '521ms'}
{'timestamp': '2024-07-13 12:50:47', 'duration': '657ms'}
{'timestamp': '2024-07-13 12:50:48', 'duration': '501ms'}
{'timestamp': '2024-07-13 12:50:49', 'duration': '372ms'}
{'timestamp': '2024-07-13 12:50:50', 'duration': '458ms'}
{'timestamp': '2024-07-13 12:50:51', 'duration': '484ms'}
{'timestamp': '2024-07-13 12:50:52', 'duration': '460ms'}
{'timestamp': '2024-07-13 12:50:53', 'duration': '400ms'}
{'timestamp': '2024-07-13 12:50:54', 'duration': '237ms'}
{'timestamp': '2024-07-13 12:50:55', 'duration': '177ms'}
{'timestamp': '2024-07-13 12:50:56', 'duration': '356ms'}
{'timestamp': '2024-07-13 12:50:57', 'duration': '254ms'}
{'timestamp': '2024-07-13 12:50:58', 'duration': '237ms'}
{'timestamp': '2024-07-13 12:50:59', 'duration': '302ms'}
{'timestamp': '2024-07-13 12:51:00', 'duration': '274ms'}
{'timestamp': '2024-07-13 12:51:01', 'duration': '314ms'}
{'timestamp': '2024-07-13 12:51:02', 'duration': '310ms'}
{'timestamp': '2024-07-13 12:51:03', 'duration': '323ms'}
{'timestamp': '2024-07-13 12:51:04', 'duration': '312ms'}
{'timestamp': '2024-07-13 12:51:06', 'duration': '366ms'}
{'timestamp': '2024-07-13 12:51:07', 'duration': '349ms'}
{'timestamp': '2024-07-13 12:51:08', 'duration': '362ms'}
{'timestamp': '2024-07-13 12:51:09', 'duration': '454ms'}
{'timestamp': '2024-07-13 12:51:10', 'duration': '182ms'}
{'timestamp': '2024-07-13 12:51:11', 'duration': '348ms'}
{'timestamp': '2024-07-13 12:51:12', 'duration': '371ms'}
{'timestamp': '2024-07-18 10:44:29', 'duration': '642ms'}
{'timestamp': '2024-07-18 10:44:30', 'duration': '642ms'}
{'timestamp': '2024-07-18 10:44:31', 'duration': '656ms'}
{'timestamp': '2024-07-18 10:44:32', 'duration': '527ms'}
{'timestamp': '2024-07-18 10:44:33', 'duration': '508ms'}
{'timestamp': '2024-07-18 10:44:34', 'duration': '666ms'}
{'timestamp': '2024-07-18 10:44:35', 'duration': '415ms'}
{'timestamp': '2024-07-18 10:44:36', 'duration': '561ms'}
{'timestamp': '2024-07-18 10:44:37', 'duration': '395ms'}
{'timestamp': '2024-07-18 10:44:38', 'duration': '601ms'}
{'timestamp': '2024-07-18 10:44:39', 'duration': '496ms'}
{'timestamp': '2024-07-18 10:44:40', 'duration': '504ms'}
{'timestamp': '2024-07-18 10:44:41', 'duration': '1240ms'}
{'timestamp': '2024-07-18 10:44:42', 'duration': '599ms'}
{'timestamp': '2024-07-18 10:44:43', 'duration': '537ms'}
{'timestamp': '2024-07-18 10:44:44', 'duration': '634ms'}
{'timestamp': '2024-07-18 10:44:45', 'duration': '428ms'}
