#Ticker,Company Name,Market Cap,Sector,Volatility,Investor Rating,Investor Style,Starting Price
AAPL,Apple Inc.,4,Technology,Stable,4,1,190.25
MSFT,Microsoft Corp.,4,Technology,Stable,4,1,343.75
AMZN,Amazon.com Inc.,4,Consumer Discretionary,Normal,3,2,129.56
GOOGL,Alphabet Inc. (Class A),4,Technology,Normal,4,2,127.4
TSLA,Tesla Inc.,4,Consumer Discretionary,High,2,2,258.44
NVDA,NVIDIA Corp.,4,Technology,High,4,2,923.12
META,Meta Platforms Inc.,4,Communication Services,Normal,3,2,364.22
BRK.B,Berkshire Hathaway Inc.,4,Financials,Low,3,3,413.7
JPM,JP Morgan Chase & Co.,4,Financials,Low,3,1,158.5
JNJ,Johnson & Johnson,4,Healthcare,Stable,2,5,165.3
V,Visa Inc.,4,Financials,Low,3,1,248.6
PG,Procter & Gamble Co.,4,Consumer Staples,Stable,3,5,156.15
UNH,UnitedHealth Group Inc.,4,Healthcare,Low,4,1,505.2
HD,Home Depot Inc.,4,Consumer Discretionary,Normal,3,1,322.45
MA,Mastercard Inc.,4,Financials,Low,3,1,418.25
XOM,Exxon Mobil Corp.,4,Energy,Normal,2,5,113.25
CVX,Chevron Corp.,4,Energy,Normal,2,5,157.35
BAC,Bank of America Corp.,4,Financials,Normal,2,6,34.55
PFE,Pfizer Inc.,4,Healthcare,Low,2,5,34.9
KO,Coca-Cola Co.,4,Consumer Staples,Stable,3,5,61.2
PEP,PepsiCo Inc.,4,Consumer Staples,Low,3,5,176.9
INTC,Intel Corp.,3,Technology,Normal,2,3,34.88
CSCO,Cisco Systems Inc.,3,Technology,Low,2,5,54.75
T,AT&T Inc.,3,Communication Services,High,1,5,16.28
WMT,Walmart Inc.,4,Consumer Staples,Low,3,1,158.45
DIS,Walt Disney Co.,3,Communication Services,High,2,6,85.62
MRK,Merck & Co. Inc.,4,Healthcare,Low,3,1,131.8
ABBV,AbbVie Inc.,4,Healthcare,Low,3,5,172.1
ORCL,Oracle Corp.,3,Technology,Normal,3,3,112.8
NKE,Nike Inc.,3,Consumer Discretionary,Normal,2,2,98.45
